Epoch 0, lr 0.001
Epoch 221, lr 0.001

(221,15010) 0 step loss : 0.002058
(221,15010) epoch loss : 0.002058
Epoch 222, lr 0.001

(222,15010) 0 step loss : 0.002007
(222,15010) epoch loss : 0.002007
Epoch 223, lr 0.001

(223,15010) 0 step loss : 0.001992
(223,15010) epoch loss : 0.001992
Epoch 224, lr 0.001

(224,15010) 0 step loss : 0.002008
(224,15010) epoch loss : 0.002008
Epoch 225, lr 0.001

(225,15010) 0 step loss : 0.002020
(225,15010) epoch loss : 0.002020
Epoch 226, lr 0.001

(226,15010) 0 step loss : 0.002091
(226,15010) epoch loss : 0.002091
Epoch 227, lr 0.001

(227,15010) 0 step loss : 0.002042
(227,15010) epoch loss : 0.002042
Epoch 228, lr 0.001

(228,15010) 0 step loss : 0.001999
(228,15010) epoch loss : 0.001999
Epoch 229, lr 0.001

(229,15010) 0 step loss : 0.002019
(229,15010) epoch loss : 0.002019
Epoch 230, lr 0.001

(230,15010) 0 step loss : 0.002008
(230,15010) epoch loss : 0.002008
Epoch 231, lr 0.001

(231,15010) 0 step loss : 0.002016
(231,15010) epoch loss : 0.002016
Epoch 232, lr 0.001

(232,15010) 0 step loss : 0.001986
(232,15010) epoch loss : 0.001986
Epoch 233, lr 0.001

(233,15010) 0 step loss : 0.002117
(233,15010) epoch loss : 0.002117
Epoch 234, lr 0.001

(234,15010) 0 step loss : 0.002123
(234,15010) epoch loss : 0.002123
Epoch 235, lr 0.001

(235,15010) 0 step loss : 0.002043
(235,15010) epoch loss : 0.002043
Epoch 236, lr 0.001

(236,15010) 0 step loss : 0.002035
(236,15010) epoch loss : 0.002035
Epoch 237, lr 0.001

(237,15010) 0 step loss : 0.002064
(237,15010) epoch loss : 0.002064
Epoch 238, lr 0.001

(238,15010) 0 step loss : 0.002016
(238,15010) epoch loss : 0.002016
Epoch 239, lr 0.001

(239,15010) 0 step loss : 0.002061
(239,15010) epoch loss : 0.002061
Epoch 240, lr 0.001

(240,15010) 0 step loss : 0.002012
(240,15010) epoch loss : 0.002012
Epoch 241, lr 0.001

(241,15010) 0 step loss : 0.001988
(241,15010) epoch loss : 0.001988
Epoch 242, lr 0.001

(242,15010) 0 step loss : 0.001986
(242,15010) epoch loss : 0.001986
Epoch 243, lr 0.001

(243,15010) 0 step loss : 0.001978
(243,15010) epoch loss : 0.001978
Epoch 244, lr 0.001

(244,15010) 0 step loss : 0.002010
(244,15010) epoch loss : 0.002010
Epoch 245, lr 0.001

(245,15010) 0 step loss : 0.002010
(245,15010) epoch loss : 0.002010
Epoch 246, lr 0.001

(246,15010) 0 step loss : 0.001960
(246,15010) epoch loss : 0.001960
Epoch 247, lr 0.001

(247,15010) 0 step loss : 0.001951
