Epoch 0, lr 0.001
(193,15010) epoch loss : 0.024318
Epoch 194, lr 0.001

(194,15010) 0 step loss : 0.023952
(194,15010) epoch loss : 0.023952
Epoch 195, lr 0.001

(195,15010) 0 step loss : 0.023880
(195,15010) epoch loss : 0.023880
Epoch 196, lr 0.001

(196,15010) 0 step loss : 0.023715
(196,15010) epoch loss : 0.023715
Epoch 197, lr 0.001

(197,15010) 0 step loss : 0.023784
(197,15010) epoch loss : 0.023784
Epoch 198, lr 0.001

(198,15010) 0 step loss : 0.023674
(198,15010) epoch loss : 0.023674
Epoch 199, lr 0.001

(199,15010) 0 step loss : 0.023272
(199,15010) epoch loss : 0.023272
Epoch 200, lr 0.001

(200,15010) 0 step loss : 0.022954
(200,15010) epoch loss : 0.022954
Epoch 201, lr 0.001

(201,15010) 0 step loss : 0.022524
(201,15010) epoch loss : 0.022524
Epoch 202, lr 0.001

(202,15010) 0 step loss : 0.022269
(202,15010) epoch loss : 0.022269
Epoch 203, lr 0.001

(203,15010) 0 step loss : 0.021764
(203,15010) epoch loss : 0.021764
Epoch 204, lr 0.001

(204,15010) 0 step loss : 0.021694
(204,15010) epoch loss : 0.021694
Epoch 205, lr 0.001

(205,15010) 0 step loss : 0.021613
(205,15010) epoch loss : 0.021613
Epoch 206, lr 0.001

(206,15010) 0 step loss : 0.021484
(206,15010) epoch loss : 0.021484
Epoch 207, lr 0.001

(207,15010) 0 step loss : 0.021496
(207,15010) epoch loss : 0.021496
Epoch 208, lr 0.001

(208,15010) 0 step loss : 0.021736
(208,15010) epoch loss : 0.021736
Epoch 209, lr 0.001

(209,15010) 0 step loss : 0.021642
(209,15010) epoch loss : 0.021642
Epoch 210, lr 0.001

(210,15010) 0 step loss : 0.021442
(210,15010) epoch loss : 0.021442
Epoch 211, lr 0.001

(211,15010) 0 step loss : 0.021052
(211,15010) epoch loss : 0.021052
Epoch 212, lr 0.001

(212,15010) 0 step loss : 0.020998
(212,15010) epoch loss : 0.020998
Epoch 213, lr 0.001

(213,15010) 0 step loss : 0.021190
(213,15010) epoch loss : 0.021190
Epoch 214, lr 0.001

(214,15010) 0 step loss : 0.021022
(214,15010) epoch loss : 0.021022
Epoch 215, lr 0.001

(215,15010) 0 step loss : 0.020324
(215,15010) epoch loss : 0.020324
Epoch 216, lr 0.001

(216,15010) 0 step loss : 0.020227
(216,15010) epoch loss : 0.020227
Epoch 217, lr 0.001

(217,15010) 0 step loss : 0.020247
(217,15010) epoch loss : 0.020247
Epoch 218, lr 0.001

(218,15010) 0 step loss : 0.020275
(218,15010) epoch loss : 0.020275
Epoch 219, lr 0.001

(219,15010) 0 step loss : 0.020311
(219,15010) epoch loss : 0.020311
Epoch 220, lr 0.001

(220,15010) 0 step loss : 0.020483
(220,15010) epoch loss : 0.020483
Epoch 221, lr 0.001

(221,15010) 0 step loss : 0.021173
(221,15010) epoch loss : 0.021173
Epoch 222, lr 0.001

(222,15010) 0 step loss : 0.020630
(222,15010) epoch loss : 0.020630
Epoch 223, lr 0.001

(223,15010) 0 step loss : 0.020001
(223,15010) epoch loss : 0.020001
Epoch 224, lr 0.001

(224,15010) 0 step loss : 0.019712
(224,15010) epoch loss : 0.019712
Epoch 225, lr 0.001

(225,15010) 0 step loss : 0.019706
(225,15010) epoch loss : 0.019706
Epoch 226, lr 0.001

(226,15010) 0 step loss : 0.019645
(226,15010) epoch loss : 0.019645
Epoch 227, lr 0.001

(227,15010) 0 step loss : 0.019024
(227,15010) epoch loss : 0.019024
Epoch 228, lr 0.001

(228,15010) 0 step loss : 0.018840
(228,15010) epoch loss : 0.018840
Epoch 229, lr 0.001

(229,15010) 0 step loss : 0.018817
(229,15010) epoch loss : 0.018817
Epoch 230, lr 0.001

(230,15010) 0 step loss : 0.018462
(230,15010) epoch loss : 0.018462
Epoch 231, lr 0.001

(231,15010) 0 step loss : 0.018514
(231,15010) epoch loss : 0.018514
Epoch 232, lr 0.001

(232,15010) 0 step loss : 0.018612
(232,15010) epoch loss : 0.018612
Epoch 233, lr 0.001

(233,15010) 0 step loss : 0.019108
(233,15010) epoch loss : 0.019108
Epoch 234, lr 0.001

(234,15010) 0 step loss : 0.019937
(234,15010) epoch loss : 0.019937
Epoch 235, lr 0.001

(235,15010) 0 step loss : 0.020886
(235,15010) epoch loss : 0.020886
Epoch 236, lr 0.001

(236,15010) 0 step loss : 0.019654
(236,15010) epoch loss : 0.019654
Epoch 237, lr 0.001

(237,15010) 0 step loss : 0.018628
(237,15010) epoch loss : 0.018628
Epoch 238, lr 0.001

(238,15010) 0 step loss : 0.019285
(238,15010) epoch loss : 0.019285
Epoch 239, lr 0.001

(239,15010) 0 step loss : 0.019487
(239,15010) epoch loss : 0.019487
Epoch 240, lr 0.001

(240,15010) 0 step loss : 0.018738
(240,15010) epoch loss : 0.018738
Epoch 241, lr 0.001

