Epoch 0, lr 0.0005
Epoch 172, lr 0.0005

(172,420) 0 step loss : 0.000634
(172,420) epoch loss : 0.010143
Epoch 173, lr 0.0005

(173,420) 0 step loss : 0.000634
(173,420) epoch loss : 0.010149
Epoch 174, lr 0.0005

(174,420) 0 step loss : 0.000639
(174,420) epoch loss : 0.010219
Epoch 175, lr 0.0005

(175,420) 0 step loss : 0.000635
(175,420) epoch loss : 0.010161
Epoch 176, lr 0.0005

(176,420) 0 step loss : 0.000639
(176,420) epoch loss : 0.010229
Epoch 177, lr 0.0005

(177,420) 0 step loss : 0.000625
(177,420) epoch loss : 0.009996
Epoch 178, lr 0.0005

(178,420) 0 step loss : 0.000626
(178,420) epoch loss : 0.010012
Epoch 179, lr 0.0005

(179,420) 0 step loss : 0.000621
(179,420) epoch loss : 0.009944
Epoch 180, lr 0.0005

(180,420) 0 step loss : 0.000629
(180,420) epoch loss : 0.010062
Epoch 181, lr 0.0005

(181,420) 0 step loss : 0.000620
(181,420) epoch loss : 0.009922
Epoch 182, lr 0.0005

(182,420) 0 step loss : 0.000614
(182,420) epoch loss : 0.009829
Epoch 183, lr 0.0005

(183,420) 0 step loss : 0.000624
(183,420) epoch loss : 0.009984
Epoch 184, lr 0.0005

(184,420) 0 step loss : 0.000644
(184,420) epoch loss : 0.010311
Epoch 185, lr 0.0005

(185,420) 0 step loss : 0.000668
(185,420) epoch loss : 0.010695
Epoch 186, lr 0.0005

(186,420) 0 step loss : 0.000638
(186,420) epoch loss : 0.010202
Epoch 187, lr 0.0005

(187,420) 0 step loss : 0.000628
(187,420) epoch loss : 0.010051
Epoch 188, lr 0.0005

(188,420) 0 step loss : 0.000637
(188,420) epoch loss : 0.010186
Epoch 189, lr 0.0005

(189,420) 0 step loss : 0.000621
(189,420) epoch loss : 0.009941
Epoch 190, lr 0.0005

(190,420) 0 step loss : 0.000612
(190,420) epoch loss : 0.009786
Epoch 191, lr 0.0005

(191,420) 0 step loss : 0.000602
(191,420) epoch loss : 0.009636
Epoch 192, lr 0.0005

(192,420) 0 step loss : 0.000601
(192,420) epoch loss : 0.009618
Epoch 193, lr 0.0005

(193,420) 0 step loss : 0.000606
(193,420) epoch loss : 0.009691
Epoch 194, lr 0.0005

(194,420) 0 step loss : 0.000598
(194,420) epoch loss : 0.009561
Epoch 195, lr 0.0005

(195,420) 0 step loss : 0.000601
(195,420) epoch loss : 0.009617
Epoch 196, lr 0.0005

(196,420) 0 step loss : 0.000606
(196,420) epoch loss : 0.009699
Epoch 197, lr 0.0005

(197,420) 0 step loss : 0.000607
(197,420) epoch loss : 0.009719
Epoch 198, lr 0.0005

(198,420) 0 step loss : 0.000610
(198,420) epoch loss : 0.009757
Epoch 199, lr 0.0005

(199,420) 0 step loss : 0.000600
(199,420) epoch loss : 0.009593
Epoch 200, lr 0.0005

(200,420) 0 step loss : 0.000594
(200,420) epoch loss : 0.009511
Epoch 201, lr 0.0005

(201,420) 0 step loss : 0.000595
(201,420) epoch loss : 0.009523
Epoch 202, lr 0.0005

(202,420) 0 step loss : 0.000596
(202,420) epoch loss : 0.009533
Epoch 203, lr 0.0005

(203,420) 0 step loss : 0.000597
(203,420) epoch loss : 0.009558
Epoch 204, lr 0.0005

(204,420) 0 step loss : 0.000596
(204,420) epoch loss : 0.009529
Epoch 205, lr 0.0005

(205,420) 0 step loss : 0.000594
(205,420) epoch loss : 0.009507
Epoch 206, lr 0.0005

(206,420) 0 step loss : 0.000598
(206,420) epoch loss : 0.009575
Epoch 207, lr 0.0005

(207,420) 0 step loss : 0.000598
(207,420) epoch loss : 0.009570
Epoch 208, lr 0.0005

(208,420) 0 step loss : 0.000602
(208,420) epoch loss : 0.009631
Epoch 209, lr 0.0005

(209,420) 0 step loss : 0.000617
(209,420) epoch loss : 0.009866
Epoch 210, lr 0.0005

(210,420) 0 step loss : 0.000640
(210,420) epoch loss : 0.010244
Epoch 211, lr 0.0005

(211,420) 0 step loss : 0.000590
(211,420) epoch loss : 0.009434
Epoch 212, lr 0.0005

(212,420) 0 step loss : 0.000576
(212,420) epoch loss : 0.009221
Epoch 213, lr 0.0005

(213,420) 0 step loss : 0.000574
(213,420) epoch loss : 0.009188
Epoch 214, lr 0.0005

(214,420) 0 step loss : 0.000578
(214,420) epoch loss : 0.009255
Epoch 0, lr 0.001

(0,420) 0 step loss : 0.001867
(0,420) epoch loss : 0.029875
Epoch 1, lr 0.001

(1,420) 0 step loss : 0.001781
(1,420) epoch loss : 0.028495
Epoch 2, lr 0.001

(2,420) 0 step loss : 0.001675
(2,420) epoch loss : 0.026796
Epoch 3, lr 0.001

(3,420) 0 step loss : 0.001564
(3,420) epoch loss : 0.025023
Epoch 4, lr 0.001

(4,420) 0 step loss : 0.001458
(4,420) epoch loss : 0.023334
Epoch 5, lr 0.001

(5,420) 0 step loss : 0.001368
(5,420) epoch loss : 0.021889
Epoch 6, lr 0.001

(6,420) 0 step loss : 0.001300
(6,420) epoch loss : 0.020796
Epoch 7, lr 0.001

(7,420) 0 step loss : 0.001257
(7,420) epoch loss : 0.020113
Epoch 8, lr 0.001

(8,420) 0 step loss : 0.001229
(8,420) epoch loss : 0.019664
Epoch 9, lr 0.001

(9,420) 0 step loss : 0.001222
(9,420) epoch loss : 0.019545
Epoch 10, lr 0.001

(10,420) 0 step loss : 0.001226
(10,420) epoch loss : 0.019618
Epoch 11, lr 0.001

(11,420) 0 step loss : 0.001228
(11,420) epoch loss : 0.019642
Epoch 12, lr 0.001

(12,420) 0 step loss : 0.001232
(12,420) epoch loss : 0.019713
Epoch 13, lr 0.001

(13,420) 0 step loss : 0.001237
(13,420) epoch loss : 0.019786
Epoch 0, lr 0.0001

(0,420) 0 step loss : 0.001872
(0,420) epoch loss : 0.029956
Epoch 1, lr 0.0001

(1,420) 0 step loss : 0.001863
(1,420) epoch loss : 0.029803
Epoch 2, lr 0.0001

(2,420) 0 step loss : 0.001849
(2,420) epoch loss : 0.029590
Epoch 3, lr 0.0001

(3,420) 0 step loss : 0.001833
(3,420) epoch loss : 0.029327
Epoch 4, lr 0.0001

(4,420) 0 step loss : 0.001814
(4,420) epoch loss : 0.029021
Epoch 5, lr 0.0001

(5,420) 0 step loss : 0.001793
(5,420) epoch loss : 0.028681
Epoch 6, lr 0.0001

(6,420) 0 step loss : 0.001770
(6,420) epoch loss : 0.028317
Epoch 7, lr 0.0001

(7,420) 0 step loss : 0.001746
(7,420) epoch loss : 0.027932
Epoch 8, lr 0.0001

(8,420) 0 step loss : 0.001721
(8,420) epoch loss : 0.027536
Epoch 9, lr 0.0001

(9,420) 0 step loss : 0.001696
(9,420) epoch loss : 0.027132
Epoch 10, lr 0.0001

(10,420) 0 step loss : 0.001670
(10,420) epoch loss : 0.026721
Epoch 11, lr 0.0001

(11,420) 0 step loss : 0.001645
(11,420) epoch loss : 0.026317
Epoch 12, lr 0.0001

(12,420) 0 step loss : 0.001619
(12,420) epoch loss : 0.025908
Epoch 13, lr 0.0001

(13,420) 0 step loss : 0.001594
(13,420) epoch loss : 0.025504
Epoch 14, lr 0.0001

(14,420) 0 step loss : 0.001570
(14,420) epoch loss : 0.025114
Epoch 15, lr 0.0001

(15,420) 0 step loss : 0.001546
(15,420) epoch loss : 0.024738
Epoch 16, lr 0.0001

(16,420) 0 step loss : 0.001524
(16,420) epoch loss : 0.024376
Epoch 17, lr 0.0001

(17,420) 0 step loss : 0.001502
(17,420) epoch loss : 0.024028
Epoch 18, lr 0.0001

(18,420) 0 step loss : 0.001481
(18,420) epoch loss : 0.023697
Epoch 19, lr 0.0001

(19,420) 0 step loss : 0.001461
(19,420) epoch loss : 0.023373
Epoch 20, lr 0.0001

(20,420) 0 step loss : 0.001442
(20,420) epoch loss : 0.023074
Epoch 21, lr 0.0001

(21,420) 0 step loss : 0.001424
(21,420) epoch loss : 0.022781
Epoch 22, lr 0.0001

(22,420) 0 step loss : 0.001408
(22,420) epoch loss : 0.022528
Epoch 23, lr 0.0001

(23,420) 0 step loss : 0.001389
(23,420) epoch loss : 0.022226
Epoch 24, lr 0.0001

(24,420) 0 step loss : 0.001375
(24,420) epoch loss : 0.021999
Epoch 25, lr 0.0001

(25,420) 0 step loss : 0.001362
(25,420) epoch loss : 0.021786
Epoch 26, lr 0.0001

(26,420) 0 step loss : 0.001349
(26,420) epoch loss : 0.021581
Epoch 27, lr 0.0001

